task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Hopper-v5,SAC,TD3,t-test,0.05,0.5,2,0.169,0.011850696182081457
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.05,0.006892024376045111
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.629,0.015276092432294327
Hopper-v5,SAC,TD3,permutation,0.05,0.5,2,0.625,0.015309310892394862
Hopper-v5,SAC,TD3,t-test,0.05,0.5,3,0.192,0.012455360291858283
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.156,0.011474493452871897
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.161,0.011622349160131096
Hopper-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.544,0.01575004761897563
Hopper-v5,SAC,TD3,permutation,0.05,0.5,3,0.46,0.015760710643876435
Hopper-v5,SAC,TD3,t-test,0.05,0.5,5,0.284,0.014259873772232347
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.187,0.012330085157856777
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.079,0.008529888627643388
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.122,0.010349685985574635
Hopper-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.423,0.015622771841129857
Hopper-v5,SAC,TD3,permutation,0.05,0.5,5,0.381,0.015357050498061143
Hopper-v5,SAC,TD3,t-test,0.05,0.5,10,0.326,0.01482309009619789
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.282,0.014229406171727617
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.169,0.011850696182081457
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.193,0.012480024038438387
Hopper-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.367,0.015241751867813621
Hopper-v5,SAC,TD3,permutation,0.05,0.5,10,0.319,0.014739029818817792
Hopper-v5,SAC,TD3,t-test,0.05,0.5,20,0.407,0.015535475531827147
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.41,0.01555313473226539
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.324,0.014799459449588015
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.308,0.014599178059055242
Hopper-v5,SAC,TD3,bootstrap,0.05,0.5,20,0.422,0.01561781034588396
Hopper-v5,SAC,TD3,permutation,0.05,0.5,20,0.38,0.015349267083479915
Hopper-v5,SAC,TD3,t-test,0.05,0.5,30,0.513,0.015806043148112688
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,30,0.511,0.015807561481771943
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,30,0.459,0.015758140753274162
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,30,0.473,0.01578831846651188
Hopper-v5,SAC,TD3,bootstrap,0.05,0.5,30,0.496,0.01581088232832058
Hopper-v5,SAC,TD3,permutation,0.05,0.5,30,0.514,0.015805189021330938
Hopper-v5,SAC,TD3,t-test,0.05,1.0,2,0.319,0.014739029818817792
Hopper-v5,SAC,TD3,Welch t-test,0.05,1.0,2,0.168,0.011822690049223147
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,1.0,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,1.0,2,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.05,1.0,2,0.723,0.014151713677148785
Hopper-v5,SAC,TD3,permutation,0.05,1.0,2,0.729,0.014055568291606
Hopper-v5,SAC,TD3,t-test,0.05,1.0,3,0.399,0.015485444778888335
Hopper-v5,SAC,TD3,Welch t-test,0.05,1.0,3,0.294,0.014407081592050487
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,1.0,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,1.0,3,0.263,0.013922320208930694
Hopper-v5,SAC,TD3,bootstrap,0.05,1.0,3,0.63,0.015267612779999367
Hopper-v5,SAC,TD3,permutation,0.05,1.0,3,0.579,0.015612783224012303
Hopper-v5,SAC,TD3,t-test,0.05,1.0,5,0.485,0.01580427157448264
